Local time,Open,High,Low,Close,Volume
04.05.2003 01:30:00.000 GMT+0430,340.345,340.345,340.345,340.345,0
05.05.2003 01:30:00.000 GMT+0430,340.345,342.588,339.734,341.887,5662131.0209
06.05.2003 01:30:00.000 GMT+0430,341.485,344.208,340.276,342.367,6868005.0076
07.05.2003 01:30:00.000 GMT+0430,342.651,344.185,339.005,341.162,6202246.931600001
08.05.2003 01:30:00.000 GMT+0430,341.385,348.054,339.956,347.732,6143151.054299999
09.05.2003 01:30:00.000 GMT+0430,347.801,348.577,345.820,347.924,5786561.008499999
10.05.2003 01:30:00.000 GMT+0430,347.924,347.924,347.924,347.924,0
11.05.2003 01:30:00.000 GMT+0430,347.924,347.924,347.924,347.924,0
12.05.2003 01:30:00.000 GMT+0430,348.163,351.576,347.725,350.399,9494091.950299999
13.05.2003 01:30:00.000 GMT+0430,350.394,351.265,348.541,349.128,11401464.128799997
14.05.2003 01:30:00.000 GMT+0430,348.995,353.950,347.405,352.190,10366989.9367
15.05.2003 01:30:00.000 GMT+0430,351.962,355.217,350.208,351.566,10309325.847800002
16.05.2003 01:30:00.000 GMT+0430,351.209,355.068,350.493,353.900,9962568.989199998
17.05.2003 01:30:00.000 GMT+0430,353.900,353.900,353.900,353.900,0
18.05.2003 01:30:00.000 GMT+0430,353.900,353.900,353.900,353.900,0
19.05.2003 01:30:00.000 GMT+0430,355.645,364.111,354.725,363.561,5587505.043300001
20.05.2003 01:30:00.000 GMT+0430,364.011,369.295,363.296,367.640,6602186.032200001
21.05.2003 01:30:00.000 GMT+0430,367.895,371.995,362.754,371.495,6089834.0007
22.05.2003 01:30:00.000 GMT+0430,371.543,371.798,367.434,367.728,6085630.049800001
23.05.2003 01:30:00.000 GMT+0430,367.653,370.195,364.748,367.465,5558346.954999999
24.05.2003 01:30:00.000 GMT+0430,367.465,367.465,367.465,367.465,0
25.05.2003 01:30:00.000 GMT+0430,367.465,367.465,367.465,367.465,0
26.05.2003 01:30:00.000 GMT+0430,367.936,370.485,367.535,369.973,5372714.037
27.05.2003 01:30:00.000 GMT+0430,369.962,374.195,365.804,366.461,6615071.983999999
28.05.2003 01:30:00.000 GMT+0430,365.361,366.595,357.995,364.393,6109475.014899999
29.05.2003 01:30:00.000 GMT+0430,364.146,365.004,359.595,364.577,6023125.0469
30.05.2003 01:30:00.000 GMT+0430,364.735,368.795,363.004,363.740,5870550.040100001
31.05.2003 01:30:00.000 GMT+0430,363.740,363.740,363.740,363.740,0
01.06.2003 01:30:00.000 GMT+0430,363.740,364.082,363.740,364.082,0
02.06.2003 01:30:00.000 GMT+0430,362.452,366.242,359.550,365.437,5562362.9911
03.06.2003 01:30:00.000 GMT+0430,365.315,366.936,363.913,364.937,6745268.0644
04.06.2003 01:30:00.000 GMT+0430,364.792,365.339,360.358,360.702,6060491.0272
05.06.2003 01:30:00.000 GMT+0430,360.959,367.397,360.236,366.827,6202228.005199999
06.06.2003 01:30:00.000 GMT+0430,366.984,368.298,361.498,363.118,5733897.972999999
07.06.2003 01:30:00.000 GMT+0430,363.118,363.118,363.118,363.118,0
08.06.2003 01:30:00.000 GMT+0430,363.118,363.118,363.118,363.118,0
09.06.2003 01:30:00.000 GMT+0430,362.805,365.189,360.355,360.948,5531986.9789
10.06.2003 01:30:00.000 GMT+0430,360.850,361.571,351.079,351.411,6772905.9652
11.06.2003 01:30:00.000 GMT+0430,351.539,355.766,351.073,354.119,6205072.989800001
12.06.2003 01:30:00.000 GMT+0430,354.167,355.115,350.336,352.725,6255424.9354
13.06.2003 01:30:00.000 GMT+0430,352.674,356.103,351.439,355.696,5912717.9328000005
14.06.2003 01:30:00.000 GMT+0430,355.696,355.696,355.696,355.696,0
15.06.2003 01:30:00.000 GMT+0430,355.696,355.696,355.696,355.696,0
16.06.2003 01:30:00.000 GMT+0430,355.998,360.304,355.558,358.413,5618973.9864
17.06.2003 01:30:00.000 GMT+0430,358.333,362.870,358.105,362.795,6762011.8856999995
18.06.2003 01:30:00.000 GMT+0430,362.603,363.866,356.181,356.499,6109713.0019
19.06.2003 01:30:00.000 GMT+0430,356.736,360.973,353.944,360.911,6245958.013300001
20.06.2003 01:30:00.000 GMT+0430,360.573,362.079,355.470,355.765,5708481.965700001
21.06.2003 01:30:00.000 GMT+0430,355.765,355.765,355.765,355.765,0
22.06.2003 01:30:00.000 GMT+0430,355.765,355.765,355.765,355.765,0
23.06.2003 01:30:00.000 GMT+0430,355.890,357.169,351.669,351.783,5489202.942799999
